Project number,Project name,WBS number,WBS name,Status,Type,Assigned/progress view,Assigned,Realised within assigned,Planned within assigned,Planned outside assigned,Realised outside assigned,Remaining,Delta,Real WK 1* 2022,Plan WK 1* 2022,Real WK 2 2022,Plan WK 2 2022,Real WK 3 2022,Plan WK 3 2022,Real WK 4 2022,Plan WK 4 2022,Real WK 5* 2022,Plan WK 5* 2022,Real WK 6 2022,Plan WK 6 2022,Real WK 7 2022,Plan WK 7 2022,Real WK 8 2022,Plan WK 8 2022,Real WK 9* 2022,Plan WK 9* 2022,Real WK 10 2022,Plan WK 10 2022,Real WK 11 2022,Plan WK 11 2022,Real WK 12 2022,Plan WK 12 2022,Real WK 13 2022,Plan WK 13 2022,Real WK 14* 2022,Plan WK 14* 2022,Real WK 15 2022,Plan WK 15 2022,Real WK 16 2022,Plan WK 16 2022,Real WK 17 2022,Plan WK 17 2022,Real WK 18* 2022,Plan WK 18* 2022,Real WK 19 2022,Plan WK 19 2022,Real WK 20 2022,Plan WK 20 2022,Real WK 21 2022,Plan WK 21 2022,Real WK 22* 2022,Plan WK 22* 2022,Real WK 23 2022,Plan WK 23 2022,Real WK 24 2022,Plan WK 24 2022,Real WK 25 2022,Plan WK 25 2022,Real WK 26 2022,Plan WK 26 2022,Real WK 27* 2022,Plan WK 27* 2022,Real WK 28 2022,Plan WK 28 2022,Real WK 29 2022,Plan WK 29 2022,Real WK 30 2022,Plan WK 30 2022,Real WK 31* 2022,Plan WK 31* 2022,Real WK 32 2022,Plan WK 32 2022,Real WK 33 2022,Plan WK 33 2022,Real WK 34 2022,Plan WK 34 2022,Real WK 35* 2022,Plan WK 35* 2022,Real WK 36 2022,Plan WK 36 2022,Real WK 37 2022,Plan WK 37 2022,Real WK 38 2022,Plan WK 38 2022,Real WK 39 2022,Plan WK 39 2022,Real WK 40* 2022,Plan WK 40* 2022,Real WK 41 2022,Plan WK 41 2022,Real WK 42 2022,Plan WK 42 2022,Real WK 43 2022,Plan WK 43 2022,Real WK 44* 2022,Plan WK 44* 2022,Real WK 45 2022,Plan WK 45 2022,Real WK 46 2022,Plan WK 46 2022,Real WK 47 2022,Plan WK 47 2022,Real WK 48* 2022,Plan WK 48* 2022,Real WK 49 2022,Plan WK 49 2022,Real WK 50 2022,Plan WK 50 2022,Real WK 51 2022,Plan WK 51 2022,Real WK 52 2022,Plan WK 52 2022,Real WK 1* 2023,Plan WK 1* 2023,Real WK 2 2023,Plan WK 2 2023,Real WK 3 2023,Plan WK 3 2023,Real WK 4 2023,Plan WK 4 2023,Real WK 5* 2023,Plan WK 5* 2023,Real WK 6 2023,Plan WK 6 2023,Real WK 7 2023,Plan WK 7 2023,Real WK 8 2023,Plan WK 8 2023,Real WK 9* 2023,Plan WK 9* 2023,Real WK 10 2023,Plan WK 10 2023,Real WK 11 2023,Plan WK 11 2023,Real WK 12 2023,Plan WK 12 2023,Real WK 13 2023,Plan WK 13 2023,Real WK 14* 2023,Plan WK 14* 2023,Real WK 15 2023,Plan WK 15 2023,Real WK 16 2023,Plan WK 16 2023,Real WK 17 2023,Plan WK 17 2023,Real WK 18* 2023,Plan WK 18* 2023,Real WK 19 2023,Plan WK 19 2023,Real WK 20 2023,Plan WK 20 2023,Real WK 21 2023,Plan WK 21 2023,Real WK 22* 2023,Plan WK 22* 2023,Real WK 23 2023,Plan WK 23 2023,Real WK 24 2023,Plan WK 24 2023,Real WK 25 2023,Plan WK 25 2023,Real WK 26 2023,Plan WK 26 2023,Real WK 27* 2023,Plan WK 27* 2023,Real WK 28 2023,Plan WK 28 2023,Real WK 29 2023,Plan WK 29 2023,Real WK 30 2023,Plan WK 30 2023,Real WK 31* 2023,Plan WK 31* 2023,Real WK 32 2023,Plan WK 32 2023,Real WK 33 2023,Plan WK 33 2023,Real WK 34 2023,Plan WK 34 2023,Real WK 35* 2023,Plan WK 35* 2023,Real WK 36 2023,Plan WK 36 2023,Real WK 37 2023,Plan WK 37 2023,Real WK 38 2023,Plan WK 38 2023,Real WK 39 2023,Plan WK 39 2023,Real WK 40* 2023,Plan WK 40* 2023,Real WK 41 2023,Plan WK 41 2023,Real WK 42 2023,Plan WK 42 2023,Real WK 43 2023,Plan WK 43 2023,Real WK 44* 2023,Plan WK 44* 2023,Real WK 45 2023,Plan WK 45 2023,Real WK 46 2023,Plan WK 46 2023,Real WK 47 2023,Plan WK 47 2023,Real WK 48* 2023,Plan WK 48* 2023
041.00083,Indirect Intelligent Imaging,041.00083/01.02.07,Mngt.: Researchgroepoverleg,Released,Indirect,Full project,0,0,0,0,76,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,4,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,6,0,3,2,0,2,0,1,2,2,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
041.00083,Indirect Intelligent Imaging,041.00083/01.03.01,Researchgroep: Ad-hoc overleg,Released,Indirect,Full project,0,0,0,0,6,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
041.00083,Indirect Intelligent Imaging,041.00083/01.03.02,Spec.Assign.Exp.: AIO werkzaamheden,Released,Indirect,Full project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
041.00083,Indirect Intelligent Imaging,041.00083/01.03.03,Spec.Assign.Exp.: KPA,Closed,Indirect,Full project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
041.00083,Indirect Intelligent Imaging,041.00083/01.03.04,S.A.E.: Programmacoordinat. rol Big Data,Closed,Indirect,Full project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
041.00083,Indirect Intelligent Imaging,041.00083/01.03.05,S.A.E.: Coördinatie EU-activiteiten,Released,Indirect,Full project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
041.00083,Indirect Intelligent Imaging,041.00083/01.03.06,S.A.E.: Markt/Kennisstrategie,Released,Indirect,Full project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
041.00083,Indirect Intelligent Imaging,041.00083/01.03.07,S.A.E.: Health/Quatar,Released,Indirect,Full project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
041.00083,Indirect Intelligent Imaging,041.00083/01.03.08,S.A.E.: Intelligent Imaging Plan 500,Released,Indirect,Full project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
041.00083,Indirect Intelligent Imaging,041.00083/01.03.09,S.A.E.: Verhuizing,Released,Indirect,Full project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
